,#ID,TIME in day,TUMOUR VOLUME in cm^3
0,708,0,0.925
19,713,0,0.72
114,743,0,2.0740000000000003
95,741,0,1.191
38,730,0,0.925
76,739,0,1.218
57,733,0,0.715
39,730,3,1.08192
20,713,3,0.8283450000000001
96,741,3,1.78024
115,743,3,3.2033850000000004
1,708,3,1.1520000000000001
77,739,3,1.8853799999999998
58,733,3,0.87725
79,739,7,2.48832
41,730,7,1.3581649999999998
98,741,7,2.0335
60,733,7,1.0764799999999999
3,708,7,1.3319999999999999
22,713,7,0.8625
117,743,7,4.0656
43,730,10,1.49916
62,733,10,1.5082200000000001
5,708,10,1.368
81,739,10,2.7993599999999996
24,713,10,1.1603200000000002
100,741,10,3.12666
119,743,10,5.279625
26,713,14,1.9652
121,743,14,7.16625
45,730,14,1.686825
64,733,14,2.0825
83,739,14,4.37536
102,741,14,5.7222
7,708,14,2.3328
28,713,17,1.9166400000000001
104,741,17,5.7
66,733,17,2.02554
85,739,17,5.25312
47,730,17,2.293655
123,743,17,8.51472
9,708,17,2.53125
87,739,21,6.1000000000000005
125,743,21,9.57675
106,741,21,5.81457
68,733,21,2.6858400000000002
11,708,21,2.7273400000000003
49,730,21,2.84592
30,713,21,2.54144
69,733,24,3.13326
31,713,24,2.84592
88,739,24,6.890625
126,743,24,10.117125
107,741,24,7.744
50,730,24,2.84592
12,708,24,2.8755650000000004
89,739,28,7.2472199999999996
32,713,28,3.0534350000000003
127,743,28,10.513875
51,730,28,3.392
108,741,28,8.4474
70,733,28,3.1941
13,708,28,2.95074
128,743,30,13.046875
14,708,30,3.5870599999999997
71,733,30,3.85784
90,739,30,10.296
109,741,30,8.7464
33,713,30,3.82925
52,730,30,4.371125
110,741,32,13.377220000000003
34,713,32,5.033815000000001
91,739,32,11.224480000000002
15,708,32,3.77196
53,730,32,4.51156
129,743,32,14.196
72,733,32,4.335
92,739,35,12.41933
73,733,35,5.858440000000001
130,743,35,15.309000000000001
54,730,35,5.33232
111,741,35,9.852625000000002
35,713,35,5.39136
16,708,35,4.1715
55,730,37,5.94432
112,741,37,13.67784
93,739,37,17.649795
36,713,37,7.33824
74,733,37,6.194580000000001
131,743,37,15.764625
17,708,37,3.63384
113,741,39,15.2352
18,708,39,5.234500000000001
56,730,39,6.8607000000000005
94,739,39,20.406895
37,713,39,7.992539999999999
75,733,39,8.1648
132,743,39,17.1396
