,#ID,TIME in day,TUMOUR VOLUME in cm^3
0,40,0,0.191808
1,94,0,0.07724750000000001
2,95,0,0.1862
59,136,0,0.1185885
60,140,0,0.0793305
61,155,0,0.105875
62,169,0,0.12300799999999999
63,170,0,0.0800565
153,140,2,0.12685200000000002
152,169,2,0.128774
148,155,2,0.167706
147,136,2,0.175071
137,95,2,0.24642
136,40,2,0.249158
156,170,2,0.094221
157,94,2,0.0884835
123,155,4,0.35632800000000003
127,40,4,0.33067199999999997
145,169,4,0.1764
112,95,4,0.4293
140,136,4,0.22999200000000003
154,94,4,0.125316
155,170,4,0.10933
151,140,4,0.146072
150,170,7,0.158994
149,94,7,0.165528
141,169,7,0.20516650000000003
135,140,7,0.261121
101,95,7,0.62426
97,40,7,0.6683669999999999
130,136,7,0.30268849999999997
99,155,7,0.6489600000000001
96,155,9,0.692224
131,136,9,0.30268849999999997
93,95,9,0.7246720000000001
84,40,9,0.915008
144,94,9,0.189486
146,170,9,0.176157
139,169,9,0.2460535
125,140,9,0.34574400000000005
132,169,11,0.2788425
124,140,11,0.3552
133,94,11,0.264654
120,136,11,0.37044
92,155,11,0.7300800000000001
91,95,11,0.7300800000000001
143,170,11,0.1940785
80,40,11,1.119258
87,155,14,0.81648
142,170,14,0.20416050000000002
126,169,14,0.333036
108,136,14,0.5341545
83,95,14,0.9196000000000001
76,40,14,1.470432
134,94,14,0.264654
114,140,14,0.41905000000000003
138,170,16,0.246402
122,169,16,0.356445
128,94,16,0.306936
72,40,16,1.6692479999999998
98,136,16,0.651688
79,95,16,1.131184
75,155,16,1.494954
109,140,16,0.480298
69,40,18,1.752192
129,170,18,0.3050865
105,140,18,0.556668
94,136,18,0.7212869999999999
71,95,18,1.675872
118,94,18,0.389207
117,169,18,0.39285000000000003
74,155,18,1.5166985
110,169,21,0.47985900000000004
64,95,21,2.346616
89,136,21,0.78732
121,170,21,0.3683265
65,40,21,2.276736
119,94,21,0.389207
88,140,21,0.8089919999999999
70,155,21,1.72405
73,155,23,1.637784
85,140,23,0.857304
86,136,23,0.8529505000000001
116,94,23,0.405769
115,170,23,0.418176
107,169,23,0.539055
66,155,25,2.25108
113,94,25,0.4264715
100,169,25,0.6354195
82,140,25,1.097675
81,136,25,1.104558
111,170,25,0.4396155
104,170,28,0.5661554999999999
68,140,28,1.9921440000000001
95,169,28,0.7146180000000001
78,136,28,1.13288
106,94,28,0.5551309999999999
77,136,30,1.4593425
103,94,30,0.57624
90,169,30,0.7469865
67,140,30,2.1225820000000004
102,170,30,0.6206265
